Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_radius,Planet_mass,Temperature_day_K,Temperature_equilibrium_K,log10_gravity,Period,Transit_Duration,K_magnitude_brightness,Distance,Effective_temperature_star,log10_gravity_star,Transit_Flag,Catalog_Name
11 Com b,,,,,16.1284,885,744,,326.03,,2.3,88.89,4830,2.61,FALSE,exoplanets.org
11 UMi b,,,,,11.0873,1341,1127,0,516.22,,1.9,122.1,4340,1.6,FALSE,exoplanets.org
14 And b,,,,,4.68383,1025,862,0,185.84,,2.3,79.18,4813,2.63,FALSE,exoplanets.org
24 Sex b,,,,,1.83564,484,407,,455.2,,4.3,77.46,5069,3.4,FALSE,exoplanets.org
14 Her b,,,,,5.21486,172,145,0,1773.4,,4.7,17.57,5388,4.517,FALSE,exoplanets.org
16 Cyg B b,,,,,1.63997,267,224,0,798.5,,4.7,21.21,5674,4.355,FALSE,exoplanets.org
18 Del b,,,,,10.298,542,456,0,993.3,,3.4,75.3,5076,3.08,FALSE,exoplanets.org
51 Eri b,,,,0.76,,,,,,,4.5,29.43,,,FALSE,exoplanets.org
55 Cnc f,,,,,0.172877,329,276,,261.2,,4,12.34,5196,4.45,FALSE,exoplanets.org
24 Sex c,,,,,1.51716,384,323,,910,,4.3,77.46,5069,3.4,FALSE,exoplanets.org
30 Ari B b,,,,,9.87792,366,308,,335.1,,5.8,40.78,6300,4.5,FALSE,exoplanets.org
42 Dra b,,,,,3.73203,1046,879,0,479.1,,2.1,96.53,4200,1.71,FALSE,exoplanets.org
61 Vir b,,,,,0.016075,1412,1188,,4.215,,3,8.56,5571,4.45,FALSE,exoplanets.org
47 UMa b,,,,,2.54589,246,207,0,1078,,3.8,14.06,5882,4.377,FALSE,exoplanets.org
47 UMa c,,,,,0.545774,189,159,0,2391,,3.8,14.06,5882,4.377,FALSE,exoplanets.org
4 UMa b,,,,,7.13242,1589,1336,0,269.3,,1.7,78.49,4415,1.8,FALSE,exoplanets.org
61 Vir c,,,,,0.033375,679,571,,38.021,,3,8.56,5571,4.45,FALSE,exoplanets.org
51 Peg b,,,,,0.461143,1470,1236,0,4.2308,,3.9,15.61,5787,4.449,FALSE,exoplanets.org
55 Cnc b,,,,,0.801471,858,722,0,14.651,,4,12.34,5196,4.45,FALSE,exoplanets.org
55 Cnc c,,,,,0.164558,593,499,0,44.38,,4,12.34,5196,4.45,FALSE,exoplanets.org
